gebiet;plz
440;23899
440;23909
440;23911
440;23919
710;23923
710;23936
710;23942
710;23946
710;23948
710;23966
710;23968
710;23970
710;23972
710;23974
710;23992
710;23996
710;23999
140;24103
140;24105
140;24106
140;24107
140;24109
140;24111
140;24113
140;24114
140;24116
140;24118
140;24119
160;24143
160;24145
160;24146
160;24147
160;24148
170;24149
130;24159
130;24161
160;24211
130;24214
170;24217
160;24220
160;24222
160;24223
170;24226
130;24229
170;24232
170;24235
180;24238
140;24239
140;24241
140;24242
130;24244
160;24245
140;24247
170;24248
140;24250
130;24251
170;24253
140;24254
170;24256
170;24257
140;24259
160;24306
180;24321
160;24326
180;24327
180;24329
130;24340
111;24351
111;24354
120;24357
120;24358
111;24360
120;24361
130;24363
111;24364
111;24366
120;24367
111;24369
100;24376
100;24392
100;24395
111;24398
100;24399
100;24401
100;24402
100;24404
100;24405
100;24407
100;24409
360;24534
360;24536
360;24537
360;24539
390;24558
390;24568
370;24576
140;24582
360;24589
370;24594
360;24598
140;24601
400;24610
370;24613
370;24616
400;24619
360;24620
370;24622
360;24623
140;24625
360;24626
390;24628
390;24629
140;24631
430;24632
370;24634
400;24635
140;24637
400;24638
390;24640
390;24641
390;24643
360;24644
140;24646
370;24647
370;24649
320;24768
140;24782
140;24783
320;24784
320;24787
140;24790
120;24791
370;24793
140;24794
140;24796
370;24797
320;24799
320;24800
140;24802
320;24803
320;24805
320;24806
370;24808
320;24809
120;24811
320;24813
130;24814
370;24816
320;24817
370;24819
100;24837
320;24848
320;24850
320;24852
320;24855
320;24857
100;24860
320;24861
320;24863
100;24864
320;24866
320;24867
320;24869
320;24870
320;24872
100;24873
320;24876
320;24878
320;24879
100;24881
100;24882
320;24884
320;24885
320;24887
100;24888
320;24890
100;24891
100;24893
100;24894
320;24896
100;24897
320;24899
320;24937
320;24939
320;24941
100;24943
100;24944
310;24955
100;24960
320;24963
100;24966
310;24969
100;24972
100;24975
320;24976
100;24977
310;24980
310;24983
100;24986
320;24988
100;24989
100;24991
310;24992
310;24994
100;24996
310;24997
100;24999
540;25335
540;25336
540;25337
530;25348
430;25355
530;25358
530;25361
430;25364
530;25365
530;25368
540;25370
540;25371
430;25373
530;25376
540;25377
530;25379
430;25421
540;25436
430;25451
430;25462
430;25469
430;25474
430;25479
430;25482
430;25485
430;25486
540;25488
540;25489
540;25491
540;25492
430;25494
430;25495
430;25497
430;25499
370;25524
514;25541
370;25548
370;25551
520;25554
370;25557
370;25560
370;25563
370;25566
530;25569
520;25572
530;25573
370;25575
520;25576
530;25578
370;25579
370;25581
370;25582
370;25584
370;25585
370;25587
370;25588
370;25590
370;25591
370;25593
370;25594
370;25596
370;25597
530;25599
514;25693
514;25704
511;25709
514;25712
514;25715
511;25718
514;25719
340;25721
511;25724
340;25725
514;25727
514;25729
340;25746
501;25761
501;25764
340;25767
340;25770
501;25774
340;25776
340;25779
340;25782
340;25785
320;25786
340;25788
340;25791
501;25792
320;25794
340;25795
514;25797
320;25799
330;25813
560;25821
560;25826
560;25832
560;25836
560;25840
560;25842
560;25845
560;25849
330;25850
560;25852
330;25853
330;25855
330;25856
330;25858
560;25859
330;25860
330;25862
560;25863
330;25864
330;25866
560;25867
560;25869
560;25870
330;25872
330;25873
330;25876
330;25878
330;25879
560;25881
560;25882
330;25884
330;25885
330;25887
560;25889
560;25899
310;25917
560;25920
560;25923
560;25924
310;25926
560;25927
560;25938
560;25946
560;25980
560;25992
560;25996
560;25997
560;25999
560;27498
